algo,reward,best_seed,best_train_value,scene,n_episodes,collision_rate,success_rate,mean_speed,mean_lc,mean_reward,std_reward
dqn,baseline,42,7.49,in_dist,50,0.94,0.06,25.35,66.5,24.04,22.27
dqn,baseline,42,7.49,lane_closure,50,0.94,0.06,25.35,66.5,24.04,22.27
dqn,baseline,42,7.49,sudden_brake,50,0.94,0.06,25.35,66.48,24.04,22.27
dqn,baseline,42,7.49,high_density,50,0.94,0.06,25.45,72.8,26.74,22.82
dqn,comfort,789,7.64,in_dist,50,0.9,0.1,24.98,0.0,41.43,30.98
dqn,comfort,789,7.64,lane_closure,50,0.9,0.1,24.98,0.0,41.43,30.98
dqn,comfort,789,7.64,sudden_brake,50,0.9,0.1,24.98,0.0,41.43,30.98
dqn,comfort,789,7.64,high_density,50,0.96,0.04,24.97,0.0,37.46,25.93
dqn,aggressive,789,6.59,in_dist,50,0.98,0.02,24.96,61.78,59.42,43.69
dqn,aggressive,789,6.59,lane_closure,50,0.98,0.02,24.96,61.78,59.42,43.69
dqn,aggressive,789,6.59,sudden_brake,50,0.98,0.02,24.96,61.7,59.34,43.62
dqn,aggressive,789,6.59,high_density,50,0.98,0.02,24.97,81.1,78.64,46.04
dqn,balanced,456,5.67,in_dist,50,1.0,0.0,29.52,0.0,4.8,9.25
dqn,balanced,456,5.67,lane_closure,50,1.0,0.0,29.52,0.0,4.8,9.25
dqn,balanced,456,5.67,sudden_brake,50,1.0,0.0,29.52,0.0,4.8,9.25
dqn,balanced,456,5.67,high_density,50,1.0,0.0,29.6,0.0,4.76,7.87
dqn,conservative,789,5.65,in_dist,50,0.9,0.1,24.98,0.0,2.17,15.86
dqn,conservative,789,5.65,lane_closure,50,0.9,0.1,24.98,0.0,2.17,15.86
dqn,conservative,789,5.65,sudden_brake,50,0.9,0.1,24.98,0.0,2.17,15.86
dqn,conservative,789,5.65,high_density,50,0.96,0.04,24.97,0.0,-0.38,12.23
ppo,baseline,1024,10.58,in_dist,50,0.1,0.9,20.66,14.3,76.37,22.14
ppo,baseline,1024,10.58,lane_closure,50,0.1,0.9,20.66,14.3,76.37,22.14
ppo,baseline,1024,10.58,sudden_brake,50,0.12,0.88,20.69,15.12,75.54,22.67
ppo,baseline,1024,10.58,high_density,50,0.14,0.86,20.9,20.76,72.48,27.76
ppo,comfort,456,10.39,in_dist,50,0.2,0.8,21.71,0.0,66.19,32.02
ppo,comfort,456,10.39,lane_closure,50,0.2,0.8,21.71,0.0,66.19,32.02
ppo,comfort,456,10.39,sudden_brake,50,0.2,0.8,21.72,0.4,66.09,31.96
ppo,comfort,456,10.39,high_density,50,0.22,0.78,21.53,0.0,67.73,28.43
ppo,aggressive,789,9.77,in_dist,50,0.02,0.98,20.34,14.02,163.66,17.19
ppo,aggressive,789,9.77,lane_closure,50,0.02,0.98,20.34,14.02,163.66,17.19
ppo,aggressive,789,9.77,sudden_brake,50,0.04,0.96,20.38,15.88,162.61,18.76
ppo,aggressive,789,9.77,high_density,50,0.02,0.98,20.38,12.48,163.68,15.81
ppo,balanced,456,10.39,in_dist,50,0.2,0.8,21.71,0.0,66.19,32.02
ppo,balanced,456,10.39,lane_closure,50,0.2,0.8,21.71,0.0,66.19,32.02
ppo,balanced,456,10.39,sudden_brake,50,0.2,0.8,21.72,0.4,66.09,31.96
ppo,balanced,456,10.39,high_density,50,0.22,0.78,21.53,0.0,67.73,28.43
ppo,conservative,789,5.64,in_dist,50,0.9,0.1,24.98,0.0,2.17,15.86
ppo,conservative,789,5.64,lane_closure,50,0.9,0.1,24.98,0.0,2.17,15.86
ppo,conservative,789,5.64,sudden_brake,50,0.9,0.1,24.98,0.0,2.17,15.86
ppo,conservative,789,5.64,high_density,50,0.96,0.04,24.97,0.0,-0.38,12.23
