avg_rank,algo,reward,avg_success_rate,avg_collision_rate,avg_mean_reward,avg_mean_speed,avg_mean_lc,in_dist_rank,lane_closure_rank,sudden_brake_rank,high_density_rank
1.00,ppo,aggressive,0.975,0.025,163.40,20.36,14.10,1,1,1,1
2.00,ppo,baseline,0.885,0.115,75.19,20.73,16.12,2,2,2,2
3.25,ppo,comfort,0.795,0.205,66.55,21.67,0.10,3,3,3,4
3.75,ppo,balanced,0.795,0.205,66.55,21.67,0.10,4,4,4,3
5.25,dqn,comfort,0.085,0.915,40.44,24.98,0.00,5,5,5,6
6.25,dqn,conservative,0.085,0.915,1.53,24.98,0.00,6,6,6,7
7.25,ppo,conservative,0.085,0.915,1.53,24.98,0.00,7,7,7,8
7.25,dqn,baseline,0.060,0.940,24.72,25.38,68.07,8,8,8,5
9.00,dqn,aggressive,0.020,0.980,64.21,24.96,66.59,9,9,9,9
10.00,dqn,balanced,0.000,1.000,4.79,29.54,0.00,10,10,10,10
